자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자
GM대우정비코너,03,경기도 가평군 가평읍 가화로 159-1,경기도 가평군 가평읍 읍내리 625-7번지,37.8333711,127.5111379,2007-06-27,268.59,01,,,,,,,가평군청,031-580-2295,2021-06-28
공용카센타,03,경기도 가평군 가평읍 석봉로 237,경기도 가평군 가평읍 읍내리 745번지,37.8360139,127.5083275,2003-04-10,264.46,01,,,,,,,가평군청,031-580-2295,2021-06-28
㈜블루버드엔터프라이즈,03,경기도 가평군 설악면 유명로 1969,경기도 가평군 설악면 회곡리 18-1번지,37.685141,127.4668638,2015-08-05,2203,01,,,,,,,가평군청,031-580-2295,2021-06-28
가평자동차정비공업㈜,02,경기도 가평군 가평읍 태평길 3,경기도 가평군 가평읍 읍내리 351-4번지,37.8280937,127.5148273,1993-09-20,695,01,,,,,,,가평군청,031-580-2295,2021-06-28
가평점 현대자동차,03,경기도 가평군 가평읍 광장로 21,경기도 가평군 가평읍 대곡리 269-2번지,37.8257657,127.5094161,2011-02-07,478,01,,,,,,,가평군청,031-580-2295,2021-06-28
가평카센타,03,경기도 가평군 가평읍 가화로 207,경기도 가평군 가평읍 읍내리 748-9번지,37.8370674,127.508471,1999-03-04,238.01,01,,,,,,,가평군청,031-580-2295,2021-06-28
건영카센타,03,경기도 가평군 조종면 연등윗길 6,경기도 가평군 조종면 현리 435-21번지,37.8145981,127.3489515,1998-10-29,561.98,01,,,,,,,가평군청,031-580-2295,2021-06-28
경기카센타,03,경기도 가평군 가평읍 가화로 77,경기도 가평군 가평읍 대곡리 233-3번지,37.8267071,127.514636,2002-08-28,290,01,,,,,,,가평군청,031-580-2295,2021-06-28
상천제일자동차공업㈜,01,경기도 가평군 청평면 마지기길 17,경기도 가평군 청평면 하천리 230-19번지,37.748797,127.4326202,2012-03-05,2961.5,01,,,,,,,가평군청,031-580-2295,2021-06-28
명보카센타,03,경기도 가평군 가평읍 경춘로 2051,경기도 가평군 가평읍 하색리 63-2번지,37.8150974,127.501246,1998-10-08,467,01,,,,,,,가평군청,031-580-2295,2021-06-28
모던카써비스,03,경기도 가평군 청평면 경춘로 773,경기도 가평군 청평면 청평리 617-5번지,37.7358258,127.4142579,2007-06-21,436,01,,,,,,,가평군청,031-580-2295,2021-06-28
벧엘정비소(프로미카월드가평지점),03,경기도 가평군 가평읍 석봉로 123,경기도 가평군 가평읍 대곡리 261-10번지,37.8261257,127.5115766,2015-06-24,218,01,,,,,,,가평군청,031-580-2295,2021-06-28
붕붕카센타,03,경기도 가평군 가평읍 보납로18번길 17,경기도 가평군 가평읍 읍내리 479-1번지,37.8293446,127.5130754,1999-01-18,294.21,01,,,,,,,가평군청,031-580-2295,2021-06-28
설악자동차공업사,01,경기도 가평군 설악면 유명로 1708-12,경기도 가평군 설악면 선촌리 470-7번지,37.6776966,127.4810323,2005-05-03,1322.31,01,,,,,,,가평군청,031-580-2295,2021-06-28
스피드메이트청평점,03,경기도 가평군 청평면 구청평로 89,경기도 가평군 청평면 청평리 619-14번지,37.7351849,127.4145946,2017-03-17,913,01,,,,,,,가평군청,031-580-2295,2021-06-28
광선공업사,03,경기도 가평군 조종면 청군로 1174,경기도 가평군 조종면 현리 481-1번지,37.8100652,127.3524052,1999-03-29,198.34,01,,,,,,,가평군청,031-580-2295,2021-06-28
신천카센타,03,경기도 가평군 설악면 유명로 1727,경기도 가평군 설악면 선촌리 423-4번지,37.6761093,127.4791971,1998-10-08,1146,01,,,,,,,가평군청,031-580-2295,2021-06-28
쌍용자동차 청평 서비스 프라자,03,경기도 가평군 청평면 여울길 24,경기도 가평군 청평면 청평리 432-76번지,37.7375168,127.4201778,2012-01-12,406.61,01,,,,,,,가평군청,031-580-2295,2021-06-28
에덴카센타,03,경기도 가평군 청평면 경춘로 1454,경기도 가평군 청평면 상천리 256-5번지,37.7789934,127.4644758,1998-05-21,730,01,,,,,,,가평군청,031-580-2295,2021-06-28
유명카센타,03,경기도 가평군 설악면 유명로 1398-12,경기도 가평군 설악면 신천리 715-5번지,37.6565859,127.4813389,2005-06-08,662,01,,,,,,,가평군청,031-580-2295,2021-06-28
유진자동차공업사,03,경기도 가평군 설악면 자잠로 40,경기도 가평군 설악면 신천리 481-6번지,37.6805052,127.4904139,2005-12-30,661.15,01,,,,,,,가평군청,031-580-2295,2021-06-28
율길자동차공업사,03,경기도 가평군 상면 청군로 2045,경기도 가평군 상면 율길리 427번지,37.833382,127.2899927,2008-11-27,1909,01,,,,,,,가평군청,031-580-2295,2021-06-28
일단정지,03,경기도 가평군 가평읍 가평제방길 5,경기도 가평군 가평읍 대곡리 63-8번지,37.8177948,127.5151083,2007-01-16,202,01,,,,,,,가평군청,031-580-2295,2021-06-28
